doc_id,chatgpt_score,gemini_score,claude_score,qwen_score,deepseek_score
104,0.0,0.0,0.1,0.0,0.0
105,0.7,0.8,0.6,0.7,0.7
106,0.9,0.8,0.8,0.7,0.8
107,0.9,0.8,0.8,0.8,0.8
108,0.85,0.9,0.8,0.8,0.8
109,0.85,0.9,0.8,0.8,0.8
110,0.85,0.9,0.8,0.8,0.8
111,0.0,0.0,0.0,0.1,0.0
112,0.85,0.9,0.85,0.8,0.8
113,0.1,0.0,0.2,0.2,0.2
114,0.1,0.0,0.2,0.2,0.2
115,0.1,0.0,0.2,0.2,0.2
116,0.1,0.0,0.2,0.2,0.2
117,0.9,0.9,0.8,0.7,0.8
118,0.9,0.9,0.8,0.8,0.8
119,0.1,0.0,0.1,0.2,0.0
120,0.1,0.0,0.1,0.2,0.2
121,0.2,0.1,0.3,0.3,0.2
122,0.7,0.7,0.6,0.7,0.6
123,0.7,0.7,0.7,0.7,0.8
124,1.0,1.0,0.9,0.8,0.8
125,0.1,0.0,0.1,0.2,0.2
126,0.1,0.1,0.1,0.2,0.0
127,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.1,0.1,0.0
129,0.7,0.6,0.7,0.7,0.6
130,0.7,0.9,0.7,0.7,0.7
131,0.7,0.9,0.7,0.7,0.8
132,0.2,0.1,0.1,0.2,0.0
133,0.0,0.0,0.0,0.0,0.0
134,0.1,0.0,0.1,0.2,0.0
135,0.8,0.8,0.7,0.7,0.7
136,0.2,0.1,0.3,0.2,0.4
137,0.6,0.4,0.4,0.6,0.7
138,0.3,0.2,0.3,0.3,0.3
139,0.1,0.0,0.2,0.2,0.2
140,0.2,0.2,0.3,0.2,0.2
141,0.1,0.0,0.1,0.2,0.2
142,0.3,0.3,0.4,0.4,0.3
143,0.7,0.8,0.7,0.6,0.7
144,0.3,0.1,0.3,0.3,0.3
145,0.2,0.0,0.2,0.2,0.0
146,0.8,0.8,0.7,0.7,0.7
147,0.1,0.1,0.2,0.2,0.2
148,0.1,0.1,0.2,0.2,0.2
149,0.1,0.1,0.2,0.2,0.2
150,0.1,0.1,0.2,0.2,0.2
151,0.1,0.1,0.2,0.2,0.3
152,0.1,0.0,0.2,0.2,0.2
153,0.1,0.0,0.2,0.2,0.3
154,0.1,0.0,0.2,0.2,0.3
155,0.1,0.0,0.2,0.2,0.2
156,0.1,0.0,0.2,0.2,0.2
157,0.1,0.0,0.2,0.2,0.2
158,0.1,0.0,0.2,0.2,0.3
159,0.1,0.0,0.2,0.2,0.3
160,0.0,0.0,0.1,0.1,0.0
161,0.1,0.1,0.2,0.2,0.3
162,0.1,0.1,0.2,0.2,0.2
163,0.2,0.1,0.2,0.2,0.3
164,0.1,0.0,0.2,0.2,0.3
165,0.1,0.0,0.2,0.2,0.2
166,0.2,0.1,0.2,0.2,0.3
167,0.1,0.0,0.1,0.3,0.0
168,0.8,0.9,0.8,0.8,0.8
169,0.1,0.1,0.2,0.2,0.2
170,0.0,0.0,0.2,0.2,0.0
171,0.7,0.7,0.7,0.7,0.7
172,0.6,0.3,0.6,0.3,0.7
173,0.35,0.2,0.3,0.3,0.3
174,0.1,0.0,0.1,0.2,0.0
175,0.7,0.8,0.6,0.4,0.8
176,0.0,0.0,0.1,0.2,0.0
177,0.2,0.1,0.2,0.2,0.3
178,0.1,0.0,0.1,0.2,0.2
179,0.35,0.3,0.6,0.3,0.4
180,0.2,0.1,0.3,0.2,0.2
181,0.2,0.1,0.3,0.3,0.3
182,0.3,0.6,0.4,0.3,0.7
183,0.3,0.2,0.4,0.3,0.2
184,0.1,0.0,0.1,0.2,0.0
185,0.1,0.0,0.2,0.2,0.0
186,0.1,0.0,0.2,0.2,0.1
187,0.8,0.8,0.8,0.7,0.7
188,0.1,0.0,0.2,0.2,0.0
189,0.1,0.0,0.0,0.1,0.0
190,0.1,0.0,0.1,0.2,0.2
191,0.15,0.0,0.2,0.2,0.3
192,0.0,0.0,0.1,0.1,0.0
193,0.0,0.0,0.1,0.1,0.0
194,0.0,0.0,0.1,0.1,0.0
195,0.0,0.0,0.1,0.1,0.0
196,0.3,0.2,0.3,0.3,0.3
197,0.3,0.4,0.4,0.3,0.3
198,0.2,0.2,0.3,0.3,0.2
199,0.3,0.6,0.6,0.3,0.7
200,0.35,0.6,0.6,0.3,0.7
201,0.3,0.6,0.6,0.3,0.7
202,0.3,0.6,0.6,0.3,0.5
203,0.1,0.1,0.2,0.2,0.3
204,0.1,0.1,0.2,0.2,0.3
205,0.0,0.0,0.0,0.1,0.0
206,0.1,0.0,0.2,0.2,0.1
207,0.1,0.0,0.1,0.2,0.0
208,0.1,0.0,0.1,0.2,0.1
209,0.1,0.0,0.2,0.2,0.0
210,0.8,0.9,0.8,0.8,0.8
211,0.7,0.7,0.7,0.7,0.8
212,0.1,0.0,0.2,0.2,0.0
213,0.4,0.6,0.4,0.3,0.6
214,0.3,0.3,0.3,0.3,0.3
215,0.2,0.2,0.3,0.3,0.3
216,0.2,0.2,0.3,0.3,0.3
217,0.2,0.2,0.3,0.3,0.3
218,0.2,0.2,0.3,0.3,0.3
219,0.3,0.3,0.3,0.3,0.3
220,0.1,0.0,0.1,0.2,0.0
221,0.1,0.0,0.1,0.2,0.0
222,0.1,0.0,0.1,0.2,0.0
223,0.1,0.0,0.1,0.2,0.0
224,1.0,1.0,0.85,0.9,0.8
225,0.0,0.0,0.1,0.1,0.0
226,0.0,0.0,0.1,0.1,0.0
227,0.0,0.0,0.1,0.1,0.0
228,0.0,0.0,0.1,0.1,0.0
229,0.2,0.1,0.3,0.3,0.3
230,0.2,0.1,0.3,0.3,0.3
231,0.2,0.1,0.3,0.3,0.3
232,0.2,0.1,0.3,0.3,0.3
233,0.1,0.0,0.2,0.2,0.2
234,0.0,0.0,0.0,0.1,0.0
235,0.0,0.0,0.1,0.1,0.0
236,0.2,0.2,0.3,0.2,0.3
237,0.4,0.6,0.5,0.3,0.4
238,0.4,0.6,0.5,0.3,0.7
239,0.15,0.1,0.2,0.2,0.2
240,0.2,0.1,0.2,0.2,0.3
241,0.7,0.7,0.6,0.3,0.7
242,0.2,0.2,0.3,0.3,0.3
243,0.3,0.3,0.3,0.2,0.6
244,0.6,0.7,0.6,0.3,0.7
245,0.3,0.3,0.6,0.3,0.7
246,0.35,0.6,0.4,0.4,0.3
247,0.2,0.8,0.8,0.2,0.7
248,0.35,0.3,0.5,0.3,0.3
249,0.85,1.0,0.8,0.8,0.8
250,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.1,0.1,0.0
252,0.1,0.0,0.1,0.2,0.0
253,0.6,0.7,0.4,0.3,0.4
254,0.0,0.0,0.1,0.2,0.0
255,0.2,0.0,0.1,0.2,0.2
256,0.7,0.7,0.6,0.7,0.8
257,0.2,0.1,0.2,0.2,0.3
258,0.7,0.7,0.6,0.6,0.7
259,0.8,0.9,0.7,0.7,0.7
260,0.1,0.1,0.2,0.2,0.3
261,0.1,0.0,0.2,0.2,0.2
262,0.2,0.2,0.3,0.3,0.3
263,0.2,0.1,0.2,0.2,0.2
264,0.0,0.0,0.0,0.1,0.0
265,0.7,0.8,0.7,0.7,0.8
266,0.1,0.0,0.2,0.2,0.0
267,0.2,0.2,0.3,0.3,0.3
268,0.7,0.4,0.4,0.7,0.4
269,0.3,0.1,0.3,0.3,0.3
270,0.3,0.2,0.3,0.3,0.3
271,0.1,0.0,0.1,0.2,0.0
272,0.8,0.6,0.8,0.3,0.5
273,0.1,0.1,0.1,0.2,0.2
274,0.4,0.3,0.6,0.7,0.4
275,0.2,0.1,0.2,0.2,0.3
276,0.1,0.0,0.2,0.2,0.0
277,0.1,0.0,0.1,0.2,0.0
278,0.1,0.0,0.2,0.2,0.3
279,0.2,0.1,0.2,0.3,0.3
280,0.3,0.1,0.2,0.2,0.2
281,0.2,0.2,0.2,0.2,0.3
282,0.1,0.0,0.1,0.2,0.0
283,0.2,0.1,0.2,0.2,0.3
284,0.85,0.8,0.7,0.7,0.8
285,0.2,0.2,0.3,0.3,0.3
286,0.2,0.2,0.3,0.3,0.3
287,0.7,0.8,0.7,0.7,0.7
288,0.1,0.0,0.1,0.1,0.0
289,0.9,1.0,0.9,0.7,0.9
290,0.85,0.9,0.8,0.7,0.8
291,0.1,0.0,0.2,0.0,0.2
292,0.2,0.1,0.3,0.2,0.3
293,0.1,0.0,0.2,0.2,0.2
294,0.1,0.1,0.2,0.2,0.0
